Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Ludhiana,Road Features,Curved Road,Minor Injury,18.0
Ludhiana,Road Features,Curved Road,Total number of Accidents,39.0
Ludhiana,Road Features,Curved Road,Persons Killed,55.0
Ludhiana,Road Features,Curved Road,Total Injured,45.0
Ludhiana,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,0.0
Ludhiana,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Ludhiana,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,0.0
Ludhiana,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Ludhiana,Road Features,Ongoing Road Works/Under Construction,Total Injured,0.0
Ludhiana,Road Features,Others,Greviously Injured,3.0
Ludhiana,Road Features,Others,Minor Injury,12.0
Ludhiana,Road Features,Others,Total number of Accidents,55.0
Ludhiana,Road Features,Others,Persons Killed,20.0
Ludhiana,Road Features,Others,Total Injured,15.0
Ludhiana,Road Features,Pot Holes,Greviously Injured,0.0
Ludhiana,Road Features,Pot Holes,Minor Injury,0.0
Ludhiana,Road Features,Pot Holes,Total number of Accidents,0.0
Ludhiana,Road Features,Pot Holes,Persons Killed,0.0
Ludhiana,Road Features,Pot Holes,Total Injured,0.0
Ludhiana,Road Features,Steep Grade,Greviously Injured,0.0
Ludhiana,Road Features,Steep Grade,Minor Injury,0.0
Ludhiana,Road Features,Steep Grade,Total number of Accidents,0.0
Ludhiana,Road Features,Steep Grade,Persons Killed,0.0
Ludhiana,Road Features,Steep Grade,Total Injured,0.0
Ludhiana,Road Features,Straight Road,Greviously Injured,89.0
Ludhiana,Road Features,Straight Road,Minor Injury,5.0
Ludhiana,Road Features,Straight Road,Total number of Accidents,198.0
Ludhiana,Road Features,Straight Road,Persons Killed,109.0
Ludhiana,Road Features,Straight Road,Total Injured,94.0
Madurai,Road Features,Bridge,Greviously Injured,7.0
Madurai,Road Features,Bridge,Minor Injury,79.0
Madurai,Road Features,Bridge,Total number of Accidents,87.0
Madurai,Road Features,Bridge,Persons Killed,9.0
Madurai,Road Features,Bridge,Total Injured,86.0
Madurai,Road Features,Culvert,Greviously Injured,0.0
Madurai,Road Features,Culvert,Minor Injury,2.0
Madurai,Road Features,Culvert,Total number of Accidents,4.0
Madurai,Road Features,Culvert,Persons Killed,4.0
Madurai,Road Features,Culvert,Total Injured,2.0
Madurai,Road Features,Curved Road,Greviously Injured,4.0
Madurai,Road Features,Curved Road,Minor Injury,59.0
Madurai,Road Features,Curved Road,Total number of Accidents,59.0
Madurai,Road Features,Curved Road,Persons Killed,3.0
Madurai,Road Features,Curved Road,Total Injured,63.0
Madurai,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,1.0
Madurai,Road Features,Ongoing Road Works/Under Construction,Minor Injury,1.0
Madurai,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,2.0
Madurai,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Madurai,Road Features,Ongoing Road Works/Under Construction,Total Injured,2.0
Madurai,Road Features,Others,Greviously Injured,0.0
Madurai,Road Features,Others,Minor Injury,0.0
Madurai,Road Features,Others,Total number of Accidents,0.0
Madurai,Road Features,Others,Persons Killed,0.0
Madurai,Road Features,Others,Total Injured,0.0
Madurai,Road Features,Pot Holes,Greviously Injured,8.0
Madurai,Road Features,Pot Holes,Minor Injury,16.0
Madurai,Road Features,Pot Holes,Total number of Accidents,20.0
Madurai,Road Features,Pot Holes,Persons Killed,0.0
Madurai,Road Features,Pot Holes,Total Injured,24.0
Madurai,Road Features,Steep Grade,Greviously Injured,0.0
Madurai,Road Features,Steep Grade,Minor Injury,0.0
Madurai,Road Features,Steep Grade,Total number of Accidents,0.0
Madurai,Road Features,Steep Grade,Persons Killed,0.0
Madurai,Road Features,Steep Grade,Total Injured,0.0
Madurai,Road Features,Straight Road,Greviously Injured,92.0
Madurai,Road Features,Straight Road,Minor Injury,230.0
Madurai,Road Features,Straight Road,Total number of Accidents,358.0
Madurai,Road Features,Straight Road,Persons Killed,65.0
Madurai,Road Features,Straight Road,Total Injured,322.0
Mallapuram,Road Features,Bridge,Greviously Injured,12.0
Mallapuram,Road Features,Bridge,Minor Injury,3.0
Mallapuram,Road Features,Bridge,Total number of Accidents,11.0
Mallapuram,Road Features,Bridge,Persons Killed,2.0
Mallapuram,Road Features,Bridge,Total Injured,15.0
Mallapuram,Road Features,Culvert,Greviously Injured,6.0
Mallapuram,Road Features,Culvert,Minor Injury,2.0
Mallapuram,Road Features,Culvert,Total number of Accidents,8.0
Mallapuram,Road Features,Culvert,Persons Killed,3.0
Mallapuram,Road Features,Culvert,Total Injured,8.0
Mallapuram,Road Features,Curved Road,Greviously Injured,223.0
Mallapuram,Road Features,Curved Road,Minor Injury,87.0
Mallapuram,Road Features,Curved Road,Total number of Accidents,300.0
Mallapuram,Road Features,Curved Road,Persons Killed,41.0
Mallapuram,Road Features,Curved Road,Total Injured,310.0
Mallapuram,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,3.0
Mallapuram,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Mallapuram,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,3.0
Mallapuram,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Mallapuram,Road Features,Ongoing Road Works/Under Construction,Total Injured,3.0
Mallapuram,Road Features,Others,Greviously Injured,206.0
Mallapuram,Road Features,Others,Minor Injury,58.0
Mallapuram,Road Features,Others,Total number of Accidents,275.0
Mallapuram,Road Features,Others,Persons Killed,44.0
Mallapuram,Road Features,Others,Total Injured,264.0
Mallapuram,Road Features,Pot Holes,Greviously Injured,0.0
Mallapuram,Road Features,Pot Holes,Minor Injury,0.0
Mallapuram,Road Features,Pot Holes,Total number of Accidents,0.0
Mallapuram,Road Features,Pot Holes,Persons Killed,0.0
Mallapuram,Road Features,Pot Holes,Total Injured,0.0
Mallapuram,Road Features,Steep Grade,Greviously Injured,0.0
Mallapuram,Road Features,Steep Grade,Minor Injury,0.0
Mallapuram,Road Features,Steep Grade,Total number of Accidents,0.0
Mallapuram,Road Features,Steep Grade,Persons Killed,0.0
Mallapuram,Road Features,Steep Grade,Total Injured,0.0
Mallapuram,Road Features,Straight Road,Greviously Injured,918.0
Mallapuram,Road Features,Straight Road,Minor Injury,310.0
Mallapuram,Road Features,Straight Road,Total number of Accidents,1187.0
Mallapuram,Road Features,Straight Road,Persons Killed,157.0
Mallapuram,Road Features,Straight Road,Total Injured,1228.0
Meerut,Road Features,Bridge,Greviously Injured,1.0
Meerut,Road Features,Bridge,Minor Injury,49.0
Meerut,Road Features,Bridge,Total number of Accidents,67.0
Meerut,Road Features,Bridge,Persons Killed,29.0
Meerut,Road Features,Bridge,Total Injured,50.0
Meerut,Road Features,Culvert,Greviously Injured,2.0
Meerut,Road Features,Culvert,Minor Injury,38.0
Meerut,Road Features,Culvert,Total number of Accidents,43.0
Meerut,Road Features,Culvert,Persons Killed,21.0
Meerut,Road Features,Culvert,Total Injured,40.0
Meerut,Road Features,Curved Road,Greviously Injured,2.0
Meerut,Road Features,Curved Road,Minor Injury,34.0
Meerut,Road Features,Curved Road,Total number of Accidents,47.0
Meerut,Road Features,Curved Road,Persons Killed,17.0
Meerut,Road Features,Curved Road,Total Injured,36.0
Meerut,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,2.0
Meerut,Road Features,Ongoing Road Works/Under Construction,Minor Injury,18.0
Meerut,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,18.0
Meerut,Road Features,Ongoing Road Works/Under Construction,Persons Killed,7.0
Meerut,Road Features,Ongoing Road Works/Under Construction,Total Injured,20.0
Meerut,Road Features,Others,Greviously Injured,12.0
Meerut,Road Features,Others,Minor Injury,247.0
Meerut,Road Features,Others,Total number of Accidents,428.0
Meerut,Road Features,Others,Persons Killed,222.0
Meerut,Road Features,Others,Total Injured,259.0
Meerut,Road Features,Pot Holes,Greviously Injured,2.0
Meerut,Road Features,Pot Holes,Minor Injury,7.0
Meerut,Road Features,Pot Holes,Total number of Accidents,8.0
Meerut,Road Features,Pot Holes,Persons Killed,2.0
Meerut,Road Features,Pot Holes,Total Injured,9.0
Meerut,Road Features,Steep Grade,Greviously Injured,1.0
Meerut,Road Features,Steep Grade,Minor Injury,5.0
Meerut,Road Features,Steep Grade,Total number of Accidents,6.0
Meerut,Road Features,Steep Grade,Persons Killed,1.0
Meerut,Road Features,Steep Grade,Total Injured,6.0
Meerut,Road Features,Straight Road,Greviously Injured,5.0
Meerut,Road Features,Straight Road,Minor Injury,62.0
Meerut,Road Features,Straight Road,Total number of Accidents,108.0
Meerut,Road Features,Straight Road,Persons Killed,50.0
Meerut,Road Features,Straight Road,Total Injured,67.0
Mumbai,Road Features,Bridge,Greviously Injured,15.0
Mumbai,Road Features,Bridge,Minor Injury,12.0
Mumbai,Road Features,Bridge,Total number of Accidents,35.0
Mumbai,Road Features,Bridge,Persons Killed,3.0
Mumbai,Road Features,Bridge,Total Injured,27.0
Mumbai,Road Features,Culvert,Greviously Injured,0.0
Mumbai,Road Features,Culvert,Minor Injury,0.0
Mumbai,Road Features,Culvert,Total number of Accidents,0.0
Mumbai,Road Features,Culvert,Persons Killed,0.0
Mumbai,Road Features,Culvert,Total Injured,0.0
Mumbai,Road Features,Curved Road,Greviously Injured,0.0
Mumbai,Road Features,Curved Road,Minor Injury,0.0
Mumbai,Road Features,Curved Road,Total number of Accidents,0.0
Mumbai,Road Features,Curved Road,Persons Killed,0.0
Mumbai,Road Features,Curved Road,Total Injured,0.0
Mumbai,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,0.0
Mumbai,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Mumbai,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,0.0
Mumbai,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Mumbai,Road Features,Ongoing Road Works/Under Construction,Total Injured,0.0
Mumbai,Road Features,Others,Greviously Injured,0.0
Mumbai,Road Features,Others,Minor Injury,0.0
Mumbai,Road Features,Others,Total number of Accidents,0.0
Mumbai,Road Features,Others,Persons Killed,0.0
Mumbai,Road Features,Others,Total Injured,0.0
Mumbai,Road Features,Pot Holes,Greviously Injured,0.0
Mumbai,Road Features,Pot Holes,Minor Injury,0.0
Mumbai,Road Features,Pot Holes,Total number of Accidents,0.0
Mumbai,Road Features,Pot Holes,Persons Killed,0.0
Mumbai,Road Features,Pot Holes,Total Injured,0.0
Mumbai,Road Features,Steep Grade,Greviously Injured,0.0
Mumbai,Road Features,Steep Grade,Minor Injury,0.0
Mumbai,Road Features,Steep Grade,Total number of Accidents,0.0
Mumbai,Road Features,Steep Grade,Persons Killed,0.0
Mumbai,Road Features,Steep Grade,Total Injured,0.0
Mumbai,Road Features,Straight Road,Greviously Injured,1282.0
Mumbai,Road Features,Straight Road,Minor Injury,431.0
Mumbai,Road Features,Straight Road,Total number of Accidents,1777.0
Mumbai,Road Features,Straight Road,Persons Killed,346.0
Mumbai,Road Features,Straight Road,Total Injured,1713.0
Nagpur,Road Features,Bridge,Greviously Injured,10.0
Nagpur,Road Features,Bridge,Minor Injury,1.0
Nagpur,Road Features,Bridge,Total number of Accidents,13.0
Nagpur,Road Features,Bridge,Persons Killed,7.0
Nagpur,Road Features,Bridge,Total Injured,11.0
Nagpur,Road Features,Culvert,Greviously Injured,0.0
Nagpur,Road Features,Culvert,Minor Injury,0.0
Nagpur,Road Features,Culvert,Total number of Accidents,0.0
Nagpur,Road Features,Culvert,Persons Killed,0.0
Nagpur,Road Features,Culvert,Total Injured,0.0
Nagpur,Road Features,Curved Road,Greviously Injured,8.0
Nagpur,Road Features,Curved Road,Minor Injury,8.0
Nagpur,Road Features,Curved Road,Total number of Accidents,20.0
Nagpur,Road Features,Curved Road,Persons Killed,9.0
Nagpur,Road Features,Curved Road,Total Injured,16.0
Nagpur,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,1.0
Nagpur,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Nagpur,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,1.0
Nagpur,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Nagpur,Road Features,Ongoing Road Works/Under Construction,Total Injured,1.0
Nagpur,Road Features,Others,Greviously Injured,0.0
Nagpur,Road Features,Others,Minor Injury,0.0
Nagpur,Road Features,Others,Total number of Accidents,0.0
Nagpur,Road Features,Others,Persons Killed,0.0
Nagpur,Road Features,Others,Total Injured,0.0
Nagpur,Road Features,Pot Holes,Greviously Injured,0.0
Nagpur,Road Features,Pot Holes,Minor Injury,0.0
Nagpur,Road Features,Pot Holes,Total number of Accidents,0.0
Nagpur,Road Features,Pot Holes,Persons Killed,0.0
Nagpur,Road Features,Pot Holes,Total Injured,0.0
Nagpur,Road Features,Steep Grade,Greviously Injured,0.0
Nagpur,Road Features,Steep Grade,Minor Injury,0.0
Nagpur,Road Features,Steep Grade,Total number of Accidents,1.0
Nagpur,Road Features,Steep Grade,Persons Killed,1.0
Nagpur,Road Features,Steep Grade,Total Injured,0.0
Nagpur,Road Features,Straight Road,Greviously Injured,401.0
Nagpur,Road Features,Straight Road,Minor Injury,323.0
Nagpur,Road Features,Straight Road,Total number of Accidents,738.0
Nagpur,Road Features,Straight Road,Persons Killed,193.0
Nagpur,Road Features,Straight Road,Total Injured,724.0
Nashik,Road Features,Bridge,Greviously Injured,7.0
Nashik,Road Features,Bridge,Minor Injury,1.0
Nashik,Road Features,Bridge,Total number of Accidents,10.0
Nashik,Road Features,Bridge,Persons Killed,5.0
Nashik,Road Features,Bridge,Total Injured,8.0
Nashik,Road Features,Culvert,Greviously Injured,0.0
Nashik,Road Features,Culvert,Minor Injury,0.0
Nashik,Road Features,Culvert,Total number of Accidents,0.0
Nashik,Road Features,Culvert,Persons Killed,0.0
Nashik,Road Features,Culvert,Total Injured,0.0
Nashik,Road Features,Curved Road,Greviously Injured,5.0
Nashik,Road Features,Curved Road,Minor Injury,0.0
Nashik,Road Features,Curved Road,Total number of Accidents,6.0
Nashik,Road Features,Curved Road,Persons Killed,2.0
Nashik,Road Features,Curved Road,Total Injured,5.0
Nashik,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,2.0
Nashik,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Nashik,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,2.0
Nashik,Road Features,Ongoing Road Works/Under Construction,Persons Killed,1.0
Nashik,Road Features,Ongoing Road Works/Under Construction,Total Injured,2.0
Nashik,Road Features,Others,Greviously Injured,2.0
Nashik,Road Features,Others,Minor Injury,0.0
Nashik,Road Features,Others,Total number of Accidents,3.0
Nashik,Road Features,Others,Persons Killed,1.0
Nashik,Road Features,Others,Total Injured,2.0
Nashik,Road Features,Pot Holes,Greviously Injured,0.0
Nashik,Road Features,Pot Holes,Minor Injury,0.0
Nashik,Road Features,Pot Holes,Total number of Accidents,0.0
Nashik,Road Features,Pot Holes,Persons Killed,0.0
Nashik,Road Features,Pot Holes,Total Injured,0.0
Nashik,Road Features,Steep Grade,Greviously Injured,0.0
Nashik,Road Features,Steep Grade,Minor Injury,0.0
Nashik,Road Features,Steep Grade,Total number of Accidents,0.0
Nashik,Road Features,Steep Grade,Persons Killed,0.0
Nashik,Road Features,Steep Grade,Total Injured,0.0
Nashik,Road Features,Straight Road,Greviously Injured,271.0
Nashik,Road Features,Straight Road,Minor Injury,77.0
Nashik,Road Features,Straight Road,Total number of Accidents,395.0
Nashik,Road Features,Straight Road,Persons Killed,162.0
Nashik,Road Features,Straight Road,Total Injured,348.0
Patna,Road Features,Bridge,Greviously Injured,25.0
Patna,Road Features,Bridge,Minor Injury,2.0
Patna,Road Features,Bridge,Total number of Accidents,30.0
Patna,Road Features,Bridge,Persons Killed,18.0
Patna,Road Features,Bridge,Total Injured,27.0
Patna,Road Features,Culvert,Greviously Injured,0.0
Patna,Road Features,Culvert,Minor Injury,0.0
Patna,Road Features,Culvert,Total number of Accidents,0.0
Patna,Road Features,Culvert,Persons Killed,0.0
Patna,Road Features,Culvert,Total Injured,0.0
Patna,Road Features,Curved Road,Greviously Injured,40.0
Patna,Road Features,Curved Road,Minor Injury,3.0
Patna,Road Features,Curved Road,Total number of Accidents,57.0
Patna,Road Features,Curved Road,Persons Killed,22.0
Patna,Road Features,Curved Road,Total Injured,43.0
Patna,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,2.0
Patna,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Patna,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,3.0
Patna,Road Features,Ongoing Road Works/Under Construction,Persons Killed,3.0
Patna,Road Features,Ongoing Road Works/Under Construction,Total Injured,2.0
Patna,Road Features,Others,Greviously Injured,41.0
Patna,Road Features,Others,Minor Injury,5.0
Patna,Road Features,Others,Total number of Accidents,65.0
Patna,Road Features,Others,Persons Killed,21.0
Patna,Road Features,Others,Total Injured,46.0
Patna,Road Features,Pot Holes,Greviously Injured,0.0
Patna,Road Features,Pot Holes,Minor Injury,0.0
Patna,Road Features,Pot Holes,Total number of Accidents,0.0
Patna,Road Features,Pot Holes,Persons Killed,0.0
Patna,Road Features,Pot Holes,Total Injured,0.0
Patna,Road Features,Steep Grade,Greviously Injured,20.0
Patna,Road Features,Steep Grade,Minor Injury,0.0
Patna,Road Features,Steep Grade,Total number of Accidents,19.0
Patna,Road Features,Steep Grade,Persons Killed,9.0
Patna,Road Features,Steep Grade,Total Injured,20.0
Patna,Road Features,Straight Road,Greviously Injured,100.0
Patna,Road Features,Straight Road,Minor Injury,5.0
Patna,Road Features,Straight Road,Total number of Accidents,199.0
Patna,Road Features,Straight Road,Persons Killed,108.0
Patna,Road Features,Straight Road,Total Injured,105.0
Pune,Road Features,Bridge,Greviously Injured,2.0
Pune,Road Features,Bridge,Minor Injury,3.0
Pune,Road Features,Bridge,Total number of Accidents,4.0
Pune,Road Features,Bridge,Persons Killed,2.0
Pune,Road Features,Bridge,Total Injured,5.0
Pune,Road Features,Culvert,Greviously Injured,0.0
Pune,Road Features,Culvert,Minor Injury,0.0
Pune,Road Features,Culvert,Total number of Accidents,0.0
Pune,Road Features,Culvert,Persons Killed,0.0
Pune,Road Features,Culvert,Total Injured,0.0
Pune,Road Features,Curved Road,Greviously Injured,6.0
Pune,Road Features,Curved Road,Minor Injury,1.0
Pune,Road Features,Curved Road,Total number of Accidents,8.0
Pune,Road Features,Curved Road,Persons Killed,1.0
Pune,Road Features,Curved Road,Total Injured,7.0
Pune,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,0.0
Pune,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Pune,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,0.0
Pune,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Pune,Road Features,Ongoing Road Works/Under Construction,Total Injured,0.0
Pune,Road Features,Others,Greviously Injured,0.0
Pune,Road Features,Others,Minor Injury,0.0
Pune,Road Features,Others,Total number of Accidents,0.0
Pune,Road Features,Others,Persons Killed,0.0
Pune,Road Features,Others,Total Injured,0.0
Pune,Road Features,Pot Holes,Greviously Injured,0.0
Pune,Road Features,Pot Holes,Minor Injury,0.0
Pune,Road Features,Pot Holes,Total number of Accidents,0.0
Pune,Road Features,Pot Holes,Persons Killed,0.0
Pune,Road Features,Pot Holes,Total Injured,0.0
Pune,Road Features,Steep Grade,Greviously Injured,0.0
Pune,Road Features,Steep Grade,Minor Injury,0.0
Pune,Road Features,Steep Grade,Total number of Accidents,0.0
Pune,Road Features,Steep Grade,Persons Killed,0.0
Pune,Road Features,Steep Grade,Total Injured,0.0
Pune,Road Features,Straight Road,Greviously Injured,289.0
Pune,Road Features,Straight Road,Minor Injury,87.0
Pune,Road Features,Straight Road,Total number of Accidents,470.0
Pune,Road Features,Straight Road,Persons Killed,140.0
Pune,Road Features,Straight Road,Total Injured,376.0
Raipur,Road Features,Bridge,Greviously Injured,5.0
Raipur,Road Features,Bridge,Minor Injury,32.0
Raipur,Road Features,Bridge,Total number of Accidents,65.0
Raipur,Road Features,Bridge,Persons Killed,24.0
Raipur,Road Features,Bridge,Total Injured,37.0
Raipur,Road Features,Culvert,Greviously Injured,1.0
Raipur,Road Features,Culvert,Minor Injury,9.0
Raipur,Road Features,Culvert,Total number of Accidents,13.0
Raipur,Road Features,Culvert,Persons Killed,4.0
Raipur,Road Features,Culvert,Total Injured,10.0
Raipur,Road Features,Curved Road,Greviously Injured,7.0
Raipur,Road Features,Curved Road,Minor Injury,236.0
Raipur,Road Features,Curved Road,Total number of Accidents,323.0
Raipur,Road Features,Curved Road,Persons Killed,69.0
Raipur,Road Features,Curved Road,Total Injured,243.0
Raipur,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,1.0
Raipur,Road Features,Ongoing Road Works/Under Construction,Minor Injury,6.0
Raipur,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,14.0
Raipur,Road Features,Ongoing Road Works/Under Construction,Persons Killed,6.0
Raipur,Road Features,Ongoing Road Works/Under Construction,Total Injured,7.0
Raipur,Road Features,Others,Greviously Injured,0.0
Raipur,Road Features,Others,Minor Injury,0.0
Raipur,Road Features,Others,Total number of Accidents,0.0
Raipur,Road Features,Others,Persons Killed,0.0
Raipur,Road Features,Others,Total Injured,0.0
Raipur,Road Features,Pot Holes,Greviously Injured,0.0
Raipur,Road Features,Pot Holes,Minor Injury,0.0
Raipur,Road Features,Pot Holes,Total number of Accidents,0.0
Raipur,Road Features,Pot Holes,Persons Killed,0.0
Raipur,Road Features,Pot Holes,Total Injured,0.0
Raipur,Road Features,Steep Grade,Greviously Injured,1.0
Raipur,Road Features,Steep Grade,Minor Injury,13.0
Raipur,Road Features,Steep Grade,Total number of Accidents,27.0
Raipur,Road Features,Steep Grade,Persons Killed,5.0
Raipur,Road Features,Steep Grade,Total Injured,14.0
Raipur,Road Features,Straight Road,Greviously Injured,34.0
Raipur,Road Features,Straight Road,Minor Injury,949.0
Raipur,Road Features,Straight Road,Total number of Accidents,1324.0
Raipur,Road Features,Straight Road,Persons Killed,374.0
Raipur,Road Features,Straight Road,Total Injured,983.0
Rajkot,Road Features,Bridge,Greviously Injured,6.0
Rajkot,Road Features,Bridge,Minor Injury,3.0
Rajkot,Road Features,Bridge,Total number of Accidents,16.0
Rajkot,Road Features,Bridge,Persons Killed,8.0
Rajkot,Road Features,Bridge,Total Injured,9.0
Rajkot,Road Features,Culvert,Greviously Injured,0.0
Rajkot,Road Features,Culvert,Minor Injury,2.0
Rajkot,Road Features,Culvert,Total number of Accidents,1.0
Rajkot,Road Features,Culvert,Persons Killed,0.0
Rajkot,Road Features,Culvert,Total Injured,2.0
Rajkot,Road Features,Curved Road,Greviously Injured,11.0
Rajkot,Road Features,Curved Road,Minor Injury,16.0
Rajkot,Road Features,Curved Road,Total number of Accidents,32.0
Rajkot,Road Features,Curved Road,Persons Killed,11.0
Rajkot,Road Features,Curved Road,Total Injured,27.0
Rajkot,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,0.0
Rajkot,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Rajkot,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,0.0
Rajkot,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Rajkot,Road Features,Ongoing Road Works/Under Construction,Total Injured,0.0
Rajkot,Road Features,Others,Greviously Injured,0.0
Rajkot,Road Features,Others,Minor Injury,0.0
Rajkot,Road Features,Others,Total number of Accidents,0.0
Rajkot,Road Features,Others,Persons Killed,0.0
Rajkot,Road Features,Others,Total Injured,0.0
Rajkot,Road Features,Pot Holes,Greviously Injured,0.0
Rajkot,Road Features,Pot Holes,Minor Injury,0.0
Rajkot,Road Features,Pot Holes,Total number of Accidents,0.0
Rajkot,Road Features,Pot Holes,Persons Killed,0.0
Rajkot,Road Features,Pot Holes,Total Injured,0.0
Rajkot,Road Features,Steep Grade,Greviously Injured,2.0
Rajkot,Road Features,Steep Grade,Minor Injury,4.0
Rajkot,Road Features,Steep Grade,Total number of Accidents,7.0
Rajkot,Road Features,Steep Grade,Persons Killed,3.0
Rajkot,Road Features,Steep Grade,Total Injured,6.0
Rajkot,Road Features,Straight Road,Greviously Injured,182.0
Rajkot,Road Features,Straight Road,Minor Injury,98.0
Rajkot,Road Features,Straight Road,Total number of Accidents,376.0
Rajkot,Road Features,Straight Road,Persons Killed,116.0
Rajkot,Road Features,Straight Road,Total Injured,280.0
Srinagar,Road Features,Bridge,Greviously Injured,0.0
Srinagar,Road Features,Bridge,Minor Injury,0.0
Srinagar,Road Features,Bridge,Total number of Accidents,0.0
Srinagar,Road Features,Bridge,Persons Killed,0.0
Srinagar,Road Features,Bridge,Total Injured,0.0
Srinagar,Road Features,Culvert,Greviously Injured,0.0
Srinagar,Road Features,Culvert,Minor Injury,0.0
Srinagar,Road Features,Culvert,Total number of Accidents,0.0
Srinagar,Road Features,Culvert,Persons Killed,0.0
Srinagar,Road Features,Culvert,Total Injured,0.0
Srinagar,Road Features,Curved Road,Greviously Injured,0.0
Srinagar,Road Features,Curved Road,Minor Injury,0.0
Srinagar,Road Features,Curved Road,Total number of Accidents,0.0
Srinagar,Road Features,Curved Road,Persons Killed,0.0
Srinagar,Road Features,Curved Road,Total Injured,0.0
Srinagar,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,0.0
Srinagar,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
Srinagar,Road Features,Ongoing Road Works/Under Construction,Total number of Accidents,0.0
Srinagar,Road Features,Ongoing Road Works/Under Construction,Persons Killed,0.0
Srinagar,Road Features,Ongoing Road Works/Under Construction,Total Injured,0.0
Srinagar,Road Features,Others,Greviously Injured,0.0
Srinagar,Road Features,Others,Minor Injury,218.0
Srinagar,Road Features,Others,Total number of Accidents,213.0
Srinagar,Road Features,Others,Persons Killed,29.0
Srinagar,Road Features,Others,Total Injured,218.0
Srinagar,Road Features,Pot Holes,Greviously Injured,0.0
Srinagar,Road Features,Pot Holes,Minor Injury,0.0
Srinagar,Road Features,Pot Holes,Total number of Accidents,0.0
Srinagar,Road Features,Pot Holes,Persons Killed,0.0
Srinagar,Road Features,Pot Holes,Total Injured,0.0
Srinagar,Road Features,Steep Grade,Greviously Injured,0.0
Srinagar,Road Features,Steep Grade,Minor Injury,0.0
Srinagar,Road Features,Steep Grade,Total number of Accidents,0.0
Srinagar,Road Features,Steep Grade,Persons Killed,0.0
Srinagar,Road Features,Steep Grade,Total Injured,0.0
Srinagar,Road Features,Straight Road,Greviously Injured,0.0
Srinagar,Road Features,Straight Road,Minor Injury,57.0
Srinagar,Road Features,Straight Road,Total number of Accidents,62.0
Srinagar,Road Features,Straight Road,Persons Killed,16.0
Srinagar,Road Features,Straight Road,Total Injured,57.0
Surat,Road Features,Bridge,Greviously Injured,19.0
Surat,Road Features,Bridge,Minor Injury,13.0
Surat,Road Features,Bridge,Total number of Accidents,36.0
Surat,Road Features,Bridge,Persons Killed,14.0
Surat,Road Features,Bridge,Total Injured,32.0
Surat,Road Features,Culvert,Greviously Injured,0.0
Surat,Road Features,Culvert,Minor Injury,0.0
Surat,Road Features,Culvert,Total number of Accidents,1.0
Surat,Road Features,Culvert,Persons Killed,0.0
Surat,Road Features,Culvert,Total Injured,0.0
Surat,Road Features,Curved Road,Greviously Injured,19.0
Surat,Road Features,Curved Road,Minor Injury,3.0
Surat,Road Features,Curved Road,Total number of Accidents,30.0
Surat,Road Features,Curved Road,Persons Killed,9.0
Surat,Road Features,Curved Road,Total Injured,22.0
Surat,Road Features,Ongoing Road Works/Under Construction,Greviously Injured,1.0
Surat,Road Features,Ongoing Road Works/Under Construction,Minor Injury,0.0
